hobby,tags,difficulty_level,cost,time_requirement,physical_activity_level,sociability,location,age_group,equipment_needed
"Reading","indoor,relaxing,educational",Beginner,Low,Daily,Low,Individual,Indoor,"All Ages",Low
"Jogging","outdoor,fitness,cardio",Beginner,Low,Daily,Medium,Individual,Outdoor,"All Ages",Low
"Photography","creative,visual,artistic",Intermediate,Medium,Weekly,Low,Mixed,Both,"All Ages",Medium
"Yoga","relaxation,fitness,flexibility",Beginner,Low,Daily,Medium,Individual,Indoor,"All Ages",Low
"Knitting","crafting,relaxing,creative",Beginner,Low,Weekly,Low,Individual,Indoor,"All Ages",Low
"Woodworking","crafting,handicraft,creative",Intermediate,Medium,Weekly,Medium,Individual,Indoor,Adults,High
"Mountain Biking","outdoor,adventure,fitness",Advanced,High,Weekly,High,Group,Outdoor,Teens,High
"Gardening","outdoor,relaxing,nature",Beginner,Low,Weekly,Medium,Individual,Outdoor,Adults,Medium
"Board Games","social,strategic,fun",Beginner,Low,Weekly,Low,Group,Indoor,"All Ages",Low
"Cooking","culinary,creative,practical",Beginner,Medium,Daily,Low,Mixed,Indoor,"All Ages",Medium
"Calligraphy","creative,artistic,craft",Intermediate,Low,Weekly,Low,Individual,Indoor,Adults,Low
"Hiking","outdoor,adventure,fitness",Beginner,Low,Weekly,High,Group,Outdoor,"All Ages",Low
"Sculpting","artistic,crafting,creative",Intermediate,Medium,Monthly,Low,Individual,Indoor,Adults,High
"Swimming","fitness,water,sport",Beginner,Low,Weekly,High,Individual,Outdoor,Children,Low
"Origami","creative,crafting,relaxing",Beginner,Low,Weekly,Low,Individual,Indoor,"All Ages",Low
"Singing","musical,expressive,art",Intermediate,Low,Daily,Medium,Mixed,Indoor,"All Ages",Low
"Kayaking","outdoor,adventure,water",Intermediate,Medium,Monthly,High,Group,Outdoor,Adults,High
"Scrapbooking","crafting,creative,art",Beginner,Low,Monthly,Low,Individual,Indoor,"All Ages",Low
"Archery","outdoor,precision,focus",Intermediate,Medium,Weekly,Medium,Individual,Outdoor,Teens,Medium
"Chess","strategic,intellectual,game",Intermediate,Low,Weekly,Low,Group,Indoor,Teens,Low
"Fishing","outdoor,relaxing,patient",Beginner,Low,Monthly,Low,Individual,Outdoor,Adults,Medium
"Model Building","crafting,creative,detailed",Intermediate,Medium,Monthly,Low,Individual,Indoor,Teens,Medium
"Weightlifting","fitness,strength,exercise",Intermediate,Medium,Weekly,High,Individual,Indoor,Adults,Medium
"Birdwatching","outdoor,nature,relaxing",Beginner,Low,Weekly,Low,Individual,Outdoor,Adults,Low
"Pottery","artistic,crafting,creative",Intermediate,Medium,Weekly,Medium,Individual,Indoor,Adults,Medium
"Rock Climbing","outdoor,adventure,fitness",Advanced,High,Weekly,High,Group,Outdoor,Adults,High
"Bowling","recreational,social,sport",Beginner,Low,Monthly,Medium,Group,Indoor,"All Ages",Low
"Running","outdoor,fitness,cardio",Beginner,Low,Daily,High,Individual,Outdoor,"All Ages",Low
"Scrabble","word game,intellectual,fun",Beginner,Low,Weekly,Low,Group,Indoor,"All Ages",Low
"Painting","artistic,creative,visual",Intermediate,Medium,Weekly,Low,Individual,Indoor,"All Ages",Medium
"Carpentry","crafting,handicraft,construction",Intermediate,Medium,Weekly,Medium,Individual,Indoor,Adults,High
"Martial Arts","fitness,self-defense,discipline",Intermediate,Medium,Weekly,High,Group,Indoor,Teens,Medium
"Dancing","artistic,expressive,fitness",Beginner,Low,Weekly,High,Group,Indoor,"All Ages",Low
"Surfing","outdoor,water,sport",Advanced,High,Monthly,High,Individual,Outdoor,Teens,High
"Journaling","writing,reflective,creative",Beginner,Low,Daily,Low,Individual,Indoor,Adults,Low
"Astrophotography","creative,scientific,technology",Advanced,High,Monthly,Low,Individual,Outdoor,Adults,High
"Geocaching","outdoor,adventure,exploring",Beginner,Low,Weekly,Medium,Group,Outdoor,"All Ages",Low
"Pottery Making","crafting,creative,handicraft",Intermediate,Medium,Weekly,Low,Individual,Indoor,"All Ages",Medium
"Drone Flying","technology,outdoor,remote control",Intermediate,Medium,Monthly,Low,Individual,Outdoor,Adults,High
"Amateur Astronomy","scientific,outdoor,educational",Intermediate,Medium,Monthly,Low,Individual,Outdoor,"All Ages",Medium
"Leatherworking","crafting,creative,art",Intermediate,Medium,Weekly,Low,Individual,Indoor,Adults,Medium
"3D Printing","technology,crafting,creative",Advanced,High,Monthly,Low,Individual,Indoor,Adults,High
"Stand-up Comedy","creative,performing,entertaining",Intermediate,Low,Weekly,Medium,Group,Indoor,Adults,Low
"Metal Detecting","outdoor,adventure,hobby",Beginner,Medium,Weekly,Low,Individual,Outdoor,"All Ages",Medium
"Whittling","crafting,wood,creative",Beginner,Low,Weekly,Low,Individual,Outdoor,Adults,Low
"Calligraphy","artistic,creative,writing",Intermediate,Low,Weekly,Low,Individual,Indoor,Adults,Low
